#k-distance eigenvalue[eV]
0.00000000 -21.36890000
0.03151036 -21.36890000
0.06302072 -21.36890000
0.09453108 -21.36880000
0.12604144 -21.36890000
0.12604144 -21.36890000
0.14423396 -21.36880000
0.16242647 -21.36880000
0.18061899 -21.36880000
0.19881150 -21.36880000
0.19881150 -21.36880000
0.23519653 -21.36880000
0.27158156 -21.36880000
0.30796659 -21.36890000
0.34435162 -21.36890000
0.34435162 -21.36890000
0.56279689 -21.35850000
0.78124217 -21.33350000
0.99968744 -21.30830000
1.21813272 -21.29790000
1.21813272 -21.29790000
1.24964308 -21.29790000
1.28115344 -21.29790000
1.31266380 -21.29790000
1.34417416 -21.29780000
1.34417416 -21.29780000
1.36236667 -21.29780000
1.38055919 -21.29790000
1.39875170 -21.29790000
1.41694422 -21.29790000
1.41694422 -21.29790000
1.45332925 -21.29790000
1.48971427 -21.29790000
1.52609931 -21.29790000
1.56248434 -21.29790000
1.56248434 -21.29780000
1.78092961 -21.30830000
1.99937489 -21.33350000
2.21782016 -21.35850000
2.43626544 -21.36890000
2.43626544 -21.29790000
2.65471071 -21.30830000
2.87315599 -21.33350000
3.09160126 -21.35850000
3.31004654 -21.36880000

0.00000000 -21.36880000
0.03151036 -21.36880000
0.06302072 -21.36880000
0.09453108 -21.36880000
0.12604144 -21.36880000
0.12604144 -21.36880000
0.14423396 -21.36880000
0.16242647 -21.36880000
0.18061899 -21.36880000
0.19881150 -21.36880000
0.19881150 -21.36880000
0.23519653 -21.36880000
0.27158156 -21.36880000
0.30796659 -21.36880000
0.34435162 -21.36880000
0.34435162 -21.36880000
0.56279689 -21.35850000
0.78124217 -21.33340000
0.99968744 -21.30830000
1.21813272 -21.29780000
1.21813272 -21.29780000
1.24964308 -21.29780000
1.28115344 -21.29780000
1.31266380 -21.29780000
1.34417416 -21.29780000
1.34417416 -21.29780000
1.36236667 -21.29780000
1.38055919 -21.29780000
1.39875170 -21.29790000
1.41694422 -21.29790000
1.41694422 -21.29790000
1.45332925 -21.29780000
1.48971427 -21.29780000
1.52609931 -21.29780000
1.56248434 -21.29780000
1.56248434 -21.29780000
1.78092961 -21.30830000
1.99937489 -21.33350000
2.21782016 -21.35850000
2.43626544 -21.36880000
2.43626544 -21.29790000
2.65471071 -21.30830000
2.87315599 -21.33350000
3.09160126 -21.35850000
3.31004654 -21.36880000

0.00000000 -21.11730000
0.03151036 -21.11730000
0.06302072 -21.11730000
0.09453108 -21.11730000
0.12604144 -21.11730000
0.12604144 -21.11730000
0.14423396 -21.11730000
0.16242647 -21.11730000
0.18061899 -21.11730000
0.19881150 -21.11730000
0.19881150 -21.11730000
0.23519653 -21.11730000
0.27158156 -21.11730000
0.30796659 -21.11730000
